ATD,SOBT,DEPAP,ARRAP,SECTOR_INFO,DepSector,ArrSector,TimeDelay
,2.02E+11,ZSDY,ZBYN,"ZSJNAR05,ZSJNAR05,ZBAAAR22,ZBAAAR22,ZBAAAR22,ZBAAAR22,ZBAAAR19,ZBAAAR19,ZBAAAR19,ZBAAAR12,ZBAAAR12,ZBAAAR12,ZBAAAR12,ZBAAAR12,ZBAAAR33,ZBAAAR33,ZBYNAP,ZBYNAP,ZBYNAP,",19,8,655
2.02E+11,2.02E+11,ZLXY,ZSSS,"ZLXYAP,ZLXYAR02,ZBAAAR31,ZBAAAR31,ZBAAAR31,ZBAAAR31,ZBAAAR31,ZBAAAR31,ZBAAAR28,ZBAAAR28,ZBAAAR28,ZBAAAR28,ZSSSAR13,ZSSSAR13,ZSSSAR13,ZSSSAR13,ZSSSAR23,ZSSSAR23,ZSSSAR34,ZSSSAR34,ZSSSAR34,ZSSSAR26,ZSSSAR26,ZSSSAR26,ZSSSAP,ZSSSAP,",165,139,780
2.02E+11,2.02E+11,ZLIC,ZYHB,"ZLICAP,ZLICAP,ZLICAP,ZLLLAR02,ZLLLAR02,ZBAAAR08,ZBAAAR08,ZBAAAR08,ZBAAAR08,ZBAAAR07,ZBAAAR07,ZBAAAR07,ZBAAAR07,ZBAAAR07,ZBAAAR01,ZBAAAR01,ZBAAAR02,ZBAAAR02,ZYTXAR13,ZYTXAR13,ZYTXAR11,ZYTXAR11,ZYTXAR10,ZYHBAR03,ZYHBAR03,ZYHBAPP,",83,144,740
2.02E+11,2.02E+11,ZGSZ,ZBSJ,"ZGJDAP,ZGJDAP,ZGGGAP,ZGGGAR05,ZGGGAR05,ZGGGAR03,ZGGGAR03,ZGGGAR03,ZGGGAR33,ZGGGAR33,ZGGGAR33,ZGGGAR25,ZGGGAR25,ZGGGAR13,ZGGGAR13,ZGGGAR13,ZGGGAR13,ZGGGAR13,ZGGGAR13,ZGGGAR13,ZGGGAR13,ZGGGAR15,ZGGGAR15,ZGGGAR15,ZGGGAR15,ZGGGAR16,ZGGGAR16,ZGGGAR16,ZGGGAR16,ZBAAAR28,ZBAAAR28,ZBAAAR28,ZBAAAR28,ZBAAAR28,ZBAAAR28,ZBAAAR28,ZBAAAR28,ZBAAAR28,ZBAAAR26,ZBAAAR26,ZBAAAR26,ZBAAAR26,ZBAAAR26,ZBAAAR13,ZBAAAR14,ZBAAAR14,ZBSJAP,ZBSJAP,",62,11,715
,2.02E+11,ZYHB,ZUCK,"ZYHBAPP,ZYHBAR03,ZYHBAR03,ZYTXAR10,ZYTXAR11,ZYTXAR11,ZYTXAR13,ZYTXAR13,ZBAAAR02,ZBAAAR02,ZBAAAR02,ZBAAAR02,ZBAAAR01,ZBAAAR01,ZBAAAR01,ZBAAAR07,ZBAAAR07,ZBAAAR07,ZBAAAR07,ZBAAAR07,ZBAAAR07,ZBAAAR08,ZBAAAR08,ZBAAAR08,ZBAAAR08,ZLXYAR10,ZLXYAR10,ZLXYAR10,ZLXYAR06,ZLXYAR06,ZLXYAR06,ZLXYAR06,ZLXYAR12,ZLXYAR12,ZLXYAR12,ZLXYAR12,ZLXYAR08,ZLXYAR05,ZUUUAR27,ZUUUAR27,ZUUUAR27,ZUUUAR06,ZUCKAP,ZUCKAP,ZUCKAP,",144,33,715
2.02E+11,2.02E+11,ZYHB,ZYHE,"ZYHBAPP,ZYHBAR01,ZYHBAR01,ZYHBAR01,ZYHBAR01,",144,76,500
2.02E+11,2.02E+11,ZLLL,ZUTF,"ZLLLAP,ZLLLAP,ZLLLAR14,ZLLLAR14,ZLLLAR05,ZLLLAR05,ZLLLAR05,ZLLLAR05,ZUUUAR04,ZUUUAP,ZUUUAP,",92,34,745
2.02E+11,2.02E+11,ZBTJ,ZBCZ,"ZBAAAP,ZBAAAP,ZBAAAR16,ZBAAAR16,ZBAAAR16,ZBAAAR16,ZBAAAR14,ZBAAAR14,ZBAAAR14,ZBAAAR34,ZBAAAR34,ZBAAAR34,",16,10,1225
2.02E+11,2.02E+11,ZBAD,ZHSY,"ZBAAAP,ZBAAAP,ZBAAAR16,ZBAAAR15,ZBAAAR15,ZBAAAR15,ZBAAAR13,ZBAAAR26,ZBAAAR26,ZBAAAR26,ZHCCAR01,ZHCCAR05,ZHCCAR03,ZHCCAR03,ZHCCAR03,ZHCCAR03,ZHCCAR03,ZHCCAR06,ZHCCAR06,ZHCCAR06,ZHCCAR06,ZHHHAR03,ZHHHAR03,",16,56,1020
2.02E+11,2.02E+11,ZSSS,ZJSY,"ZSSSAP,ZSSSAR15,ZSSSAR15,ZSSSAR15,ZSSSAR01,ZSSSAR01,ZSSSAR01,ZSSSAR31,ZSSSAR35,ZSSSAR35,ZSSSAR20,ZSSSAR20,ZSSSAR20,ZGGGAR40,ZGGGAR35,ZGGGAR35,ZGGGAR34,ZGGGAR34,ZGGGAR29,ZGGGAR29,ZGGGAR29,ZGGGAR29,ZGGGAR29,ZGGGAR29,ZGGGAR24,ZGGGAR24,ZJSYAR11,ZJSYAR11,ZJSYAR11,ZJSYAR01,ZJSYAR04,ZJSYAR04,ZJSYAR04,ZJSYAP,ZJSYAP,",139,101,615
